epoch,split,loss,acc,auc,num_samples,epoch_time_sec,score_threshold,num_signal,num_background,selected_signal,selected_background,purity,signal_efficiency,background_efficiency,background_rejection
1,train,0.7020948305726051,0.51171875,0.4971923828125,512,0.10022163391113281,0.85,256,256,0,0,,0.0,0.0,1.0
1,val,0.6651233434677124,0.5625,0.89453125,128,0.005071401596069336,0.85,64,64,0,0,,0.0,0.0,1.0
1,train_eval,0.6653765141963959,0.576171875,0.898468017578125,512,0.01716327667236328,0.85,256,256,0,0,,0.0,0.0,1.0
2,train,0.6452976986765862,0.6953125,0.7689208984375,512,0.06804585456848145,0.85,256,256,0,0,,0.0,0.0,1.0
2,val,0.5951199233531952,0.765625,0.923095703125,128,0.004525899887084961,0.85,64,64,0,0,,0.0,0.0,1.0
2,train_eval,0.5940302908420563,0.791015625,0.9226837158203125,512,0.018082857131958008,0.85,256,256,0,0,,0.0,0.0,1.0
3,train,0.5482812002301216,0.8125,0.8903961181640625,512,0.07112407684326172,0.85,256,256,0,0,,0.0,0.0,1.0
3,val,0.44190190732479095,0.859375,0.9384765625,128,0.004975557327270508,0.85,64,64,0,0,,0.0,0.0,1.0
3,train_eval,0.43897416442632675,0.857421875,0.93829345703125,512,0.01742386817932129,0.85,256,256,0,0,,0.0,0.0,1.0
